canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,pKi
N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2cccc(-c3ccc(Cl)cc3Cl)c2)C(=O)N2CCC(NC(=O)NC3CCCCC3)CC2)c1,CHEMBL3219103,=,=,nM,20.0,uM,0.02,7.698970004336019
COc1ccc(C(=O)NCC2CCN(Cc3ccnc(O)c3)CC2)cc1OCCc1ccc(Cl)cc1Cl,CHEMBL421560,=,=,nM,950.0,nM,950.0,6.022276394711152
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1ccc(F)c(C(=N)N)c1,CHEMBL39297,=,=,nM,0.18,nM,0.18,9.744727494896694
N=C(N)NCCC(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)Cc2ccc3ccccc3c2)CC1,CHEMBL209334,=,=,nM,130000.0,uM,130.0,3.886056647693163
O=C(N[C@H]1CCC[C@H]1NS(=O)(=O)c1ccc(Cl)cc1)c1ccc(-n2ccccc2=O)cc1,CHEMBL410550,=,=,nM,11500.0,nM,11500.0,4.939302159646388
NCc1ccc(Cl)cc1CNC(=O)[C@H](CO)NC(=O)[C@@H](CCc1cccc[n+]1[O-])NS(=O)(=O)Cc1ccccc1,CHEMBL396058,=,=,nM,0.059,nM,0.059,10.229147988357855
CN1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL320512,=,=,nM,29991.63,,4.523,4.5229999303468915
COC(=O)CC(CCc1ccc(NS(C)(=O)=O)cc1)c1cccc(C(=N)N)c1,CHEMBL436026,=,=,nM,654.0,nM,654.0,6.184422251675732
CC(C)N1CCC(NC(=O)c2cn(Cc3cc(-c4ccc(Cl)s4)on3)c3ccccc23)CC1,CHEMBL5199539,=,=,nM,241.0,nM,241.0,6.617982957425132
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(Oc4ccccc4)cc3)C2=O)c1,CHEMBL119249,=,=,nM,380.0,uM,0.38,6.42021640338319
Cc1cc(NC(=O)OCC(Oc2cccc3sc(C(=N)N)cc23)c2ccccc2)n(C)n1,CHEMBL606177,=,=,nM,2051.0,uM,2.051,5.688034339631634
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2ccccc2N)n1,CHEMBL138516,=,=,nM,600.0,nM,600.0,6.221848749616356
Cc1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CHEMBL364696,=,=,nM,9.0,nM,9.0,8.045757490560675
CCCS(=O)(=O)N[C@@H](C(=O)N[C@@H](CCSC)C(=O)NCc1ccc(C(=N)N)cc1)[C@@H](C)O,CHEMBL524462,=,=,nM,25000.0,nM,25000.0,4.6020599913279625
Cc1nc2c(Oc3cccc(C(=O)N(C)C)c3)nc(Oc3cc(C(=N)N)ccc3O)nc2n1Cc1ccccc1,CHEMBL72527,=,=,nM,10.0,nM,10.0,8.0
O=C(N[C@H]1CCCC[C@H]1NC(=O)c1ccc(Cl)cc1)c1ccc(-n2ccccc2=O)cc1,CHEMBL233541,=,=,nM,37.0,nM,37.0,7.431798275933005
NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3ccc(Cl)cc3Cl)=NO2)cc1,CHEMBL301976,=,=,nM,1700.0,uM,1.7,5.769551078621726
